doc_table_contents,question,answer
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:샤시 통합 제어 (VSM)
시스템 작동샤시 통합 제어 시스템이 작동할 때는 구동력과제동력의 영향 및 전동 파워 스티어링의 협조제어의 영향으로 약간의 진동 및 스티어링 휠의이질감이 느껴질 수 있으나 이는 정상입니다.
다음과 같은 경우에는 샤시 통합 제어 시스템이 작동하지 않습니다. 도로의 경사가 심한 경우 후진 주행하는 경우 차체 자세 제어(ESC) 장치 작동 정지 표시등( )이 켜진 경우 전동 파워 스티어링 경고등()이 켜진 경우",시동 및 주행 설명서의 어떤 부분에서 진동 및 스티어링 휠의 이질감이 느껴질 수 있는지 설명해보세요.,시스템 작동 부분에서 구동력과 제동력의 영향 및 전동 파워 스티어링의 협조제어로 인해 진동 및 스티어링 휠의 이질감이 느껴질 수 있다고 설명되어 있습니다.
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:샤시 통합 제어 (VSM)
시스템 이상차체 자세 제어(ESC) 장치와 전동 파워 스티어링에 이상이 있을 때는 샤시 통합 제어(VSM)도작동하지 않습니다. 차체 자세 제어(ESC) 장치작동 정지 표시등( )이나 전동 파워 스티어링경고등()이 계속 켜지는 경우 당사 직영 하이테크센터나 블루핸즈에서 점검 및 정비를 받으십시오.
 일정 속도 이상에서 커브길 주행 시 샤시 통합 제어 시스템이 작동하지 않습니다. 샤시 통합 제어(VSM)는 일정 속도 이상으로주행 중에 마찰 계수가 다른 노면에서 ABS가 작동할 때 작동합니다.
 마찰 계수가 다른 노면이란 왼쪽 타이어는 얼음판, 오른쪽 타이어는 아스팔트를 걸쳐서 주행하고 있을 때처럼 양쪽 타이어에 걸리는 마찰정도가 다른 길을 의미합니다.
샤시 통합 제어 시스템은 운전자를 위한 보조시스템입니다.차량 안전 및 통제는 운전자 스스로의 판단에의해 이루어져야 합니다. 시스템에 의존하여위험한 주행을 해서는 안 되며, 항상 스티어링휠을 확실하게 잡고 안전한 제동 거리를 확보해야 합니다. 필요하면 브레이크 페달을 밟아 속도를 줄이십시오.샤시 통합 제어 시스템 작동 중에도 도로 및 주행 상태에 대하여 세심하고 지속적인 주의를 기울이십시오.차량 출고 시 제공된 타이어 및 휠과 다른 사이즈 또는 다른 타입의 타이어와 휠을 사용하지마십시오. 시스템 오작동의 원인이 될 수 있습니다.",시동 및 주행에 대한 설명서의 대제목은 무엇인가요?,"시동 및 주행에 대한 설명서의 대제목은 ""6. 시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:경사로 밀림 방지 (HAC)
경사로 밀림 방지 (HAC)
경사로 밀림 방지 기능은 경사가 심한 오르막길에서 정차한 후 출발할 때 일시적으로 브레이크가 작동하여 차가 밀리는 것을 방지합니다. 이기능은 2초(HAC 작동 중에 가속 페달을 살짝밟으면 최대 5초까지 작동) 동안 작동되며 가속페달을 밟아 차가 출발하면 자동으로 해제됩니다.
 HAC는 Hill-start Assist Control의 약자입니다. 
 경사로 밀림 방지 기능에 의한 브레이크 작동은 약 2초(HAC 작동 중에 가속 페달을 살짝 밟으면 최대 5초까지 작동) 후 자동 해제되므로 일부러 브레이크 페달에서 발을 떼고가속 페달을 밟지 않으면 차가 갑자기 밀려매우 위험합니다. 기어가 'P'(주차) 또는 'N'(중립) 상태인 경우는 경사로 밀림 방지 기능이 작동하지 않습니다.  차체 자세 제어(ESC) 장치가 해제된 상태에서는 경사로 밀림 방지 기능이 작동되지만,차체 자세 제어(ESC) 장치에 이상이 있으면경사로 밀림 방지 기능도 작동하지 않습니다.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:급제동 경보 (ESS)
급제동 경보 (ESS)
급제동 경보(ESS) 시스템은 차량 주행 중에 급제동하거나 제동 중에 ABS가 작동하면 제동등이 빠르게 깜빡여 후방 차량에 위험을 알려주는시스템입니다.
 ESS는 Emergency Stop Signal의 약자입니다.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:급제동 경보 (ESS)
시스템 작동55 km/h 이상의 속도로 주행하다가 제동할 경우 차량의 감속도가 7 ㎨ 이상이거나 ABS가 작동하면 제동등이 빠르게 깜빡입니다.",시동 및 주행에 대한 설명서의 대제목은 무엇인가요?,"시동 및 주행에 대한 설명서의 대제목은 ""6. 시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:급제동 경보 (ESS)
시스템 해제차량 속도 40 km/h 이하에서 급제동 상황이해제되거나 ABS 작동이 중지되면 제동등의 깜빡임이 멈추고 비상 경고등이 자동으로 켜집니다.차량 정지 후 다시 10 km/h 이상으로 주행하거나 일정 시간 저속으로 주행하면 비상 경고등이자동으로 꺼집니다. 비상 경고등 버튼을 눌러수동으로 끌 수도 있습니다.
비상 경고등이 이미 켜져 있는 경우에는 급제동경보 시스템이 작동하지 않습니다.","""급제동 경보 시스템이 작동하지 않는 경우는 어떤 경우인가요?""",급제동 경보 시스템이 작동하지 않는 경우는 비상 경고등이 이미 켜져 있는 경우입니다.
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:다중 충돌방지 자동 제동 (MCB)
다중 충돌방지 자동 제동 (MCB)
다중 충돌 방지 자동 제동(MCB) 시스템은 차량이 충돌하여 에어백이 전개할 때 작동하면 추가 사고 위험을 줄이기 위해 자동으로 브레이크를 작동시키는 시스템입니다.
 MCB는 Multi-Collision Brake의 약자입니다.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:다중 충돌방지 자동 제동 (MCB)
시스템 작동 다중 충돌 방지 자동 제동(MCB) 시스템은에어백 전개 시점 부터 짧은 시간 동안 브레이크 페달과 가속 페달의 눌림을 모니터링하고 다음과 같은 조건이 만족될 때 작동합니다.- 충돌 시 차량의 속도가 180 km/h 이하인경우- 브레이크 페달과 가속 페달이 거의 밟히지않았을 때 다중 충돌 방지 자동 제동(MCB) 시스템이작동하는 동안 브레이크 페달을 일정량 이상밟으면 시스템에 의한 자동 제동력보다 브레이크 페달에 의한 제동력이 우선하여 적용됩니다. 브레이크 페달에서 발을 떼면 시스템에 의한 자동 제동이 유지됩니다.",다중 충돌방지 자동 제동(MCB) 시스템이 작동하는 조건은 무엇인가요?,"다중 충돌방지 자동 제동(MCB) 시스템이 작동하는 조건은 충돌 시 차량의 속도가 180 km/h 이하이고, 브레이크 페달과 가속 페달이 거의 밟히지 않았을 때입니다. 또한, 브레이크 페달을 일정량 이상 밟으면 시스템에 의한 자동 제동력보다 브레이크 페달에 의한 제동력이 우선하여 적용됩니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:제동 장치
설명서 소제목:다중 충돌방지 자동 제동 (MCB)
시스템 해제다음과 같은 조건에서 다중 충돌 방지 자동 제동(MCB) 시스템이 해제됩니다. 가속 페달을 일정량 이상 밟을 경우 차량이 정지한 경우 차체자세제어(ESC) 장치 또는 전기 장치의고장 및 시스템이 정상 작동할 수 없는 경우 시스템에 의한 자동 제동 시작 후 10초 이상지났을 경우
 다중 충돌 방지 자동 제동(MCB) 시스템은충돌 후 차량의 속도를 줄여주는 시스템으로두 번째 충돌을 자동으로 피할 수는 없습니다. 첫 번째 충돌 후 충돌 위치에서 벗어나려는 경우 가속 페달을 밟아 위험 상황에서 벗어나십시오. 다중 충돌 방지 자동 제동(MCB) 시스템이작동하여 차량이 정지하게 되면 시스템은 해제되고 브레이크의 제동 상태가 유지되지 않습니다. 상황에 따라 브레이크 페달 또는 가속 페달을 밟아 2차 사고를 방지하십시오.",다중 충돌 방지 자동 제동(MCB) 시스템이 해제되는 조건은 무엇인가요?,"다중 충돌 방지 자동 제동(MCB) 시스템이 해제되는 조건은 가속 페달을 일정량 이상 밟을 경우, 차량이 정지한 경우, 차체자세제어(ESC) 장치 또는 전기 장치의 고장 및 시스템이 정상 작동할 수 없는 경우, 시스템에 의한 자동 제동 시작 후 10초 이상 지난 경우입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:
사륜구동 모터
사륜구동 시에는 전·후륜이 모두 구동되어 일반 도로에서는 적절하게 전륜 및 후륜 구동력을배분하며, 비포장 상태의 험한 길을 탈출하거나 급경사로, 모래길, 진흙 길 등을 주행할 때 차량의 구동력을 극대화하여 주행성을 향상해줍니다.
 사륜구동 차량은 상황에 맞게 보조구동륜(전륜) 구동 모터 체결 및 해제를 통해 필요에 따라구동 모드(2WD/4WD) 를 자동 전환하여 연비향상과 주행 안정성에 도움을 줍니다.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:
전자식 사륜구동의 장점1. 차량의 직진 안전성 향상2. 차량의 곡선 주행 성능 향상3. 눈길, 빗길, 모래길 등 험로에서의 안정성 확보4. 구동 모드 자동 제어를 통한 연비 향상",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
사륜구동 차량의 운전 요령
사륜구동 차량의 특징을 잘 이해하고 도로 조건에 맞게 주행하십시오. 위험하다고 판단되는길은 주행하지 마십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
일반 주의 사항 반드시 안전벨트를 착용하십시오. 운전할 때 자세를 평상시보다 스티어링 휠과가깝게 하고 곧은 자세를 유지하십시오. 스티어링 휠이나 페달을 손쉽게 조작할 수 있도록 여유 있는 위치로 조정하십시오. 비포장 험로를 주행할 경우 차량의 지상고가낮아 차체 손상이 발생할 수 있습니다. 위험한 지역을 피해 주행하십시오. 사륜구동 차량도 일반 차량과 마찬가지로 조향 및 브레이크 조작을 신중히 하여 안전 운전 하십시오. 비포장 도로를 주행할 때는 항상 스티어링휠의 바깥쪽을 확실하게 잡으십시오. 스티어링 휠 안쪽을 잡을 경우 스티어링 휠이 갑자기 돌아가 손을 다칠 수 있습니다.
사륜구동 경고등( )이 꺼지지 않거나 빈번하게켜질 경우, 당사 직영 하이테크센터나 블루핸즈에서 점검 및 정비를 받으십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
눈길, 빙판길 주행 시 주의 사항 가속 페달을 서서히 밟아 부드럽게 출발하십시오. 타이어 체인이나 스노우 타이어를 사용하십시오. 차간 거리를 충분히 유지하십시오. 주행 중 급가속, 급제동, 과도한 스티어링 휠조작을 하지 마십시오. 차량이 미끄러질 수있어 위험합니다. 내리막길에서 회생 제동(패들 쉬프트 왼쪽레버로 회생 제동량 증대)을 사용하면 방향조작에 도움이 됩니다. 단, 회생 제동을 이용한 타력 주행 중에는 차량 조정이 어려울 수있으므로, 회생 제동 3단계 사용은 가급적 자제하여 주십시오. 오르막길에서는 한 번 멈추면 다시 출발하기가 어렵습니다. 다른 차량과의 거리를 유지하고 서행하십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
모랫길, 진흙탕 주행 시 주의 사항 가능한 저속으로 일정한 속도를 유지하여 주행하십시오. 진흙탕을 주행할 때 필요하면 타이어 체인을장착하십시오. 진흙탕에서는 도로 상태를 알기 어렵기 때문에 가능하면 차에서 내려 도로 상태를 살피고 저속으로 주행하십시오. 주행 중 급가속, 급제동, 과도한 스티어링 휠조작을 하지 마십시오. 차량이 모랫길이나진흙탕에 빠질 수 있습니다. 
차량이 모랫길이나 진흙탕에 빠졌을 때는 타이어 밑에 돌이나 나무 등을 넣어 빠져나오거나,전진 및 후진을 반복하여 차의 관성을 이용하여빠져나오십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
급한 오르막길을 올라갈 때 주의 사항 돌, 모래 및 요철 부위가 적은 곳을 선택해서주행하십시오. 오르막길을 오르기 전에 주행이 가능한지 직접 확인하십시오.","""사륜구동 차량이 급한 오르막길을 올라갈 때 주의해야 할 사항은 무엇인가요?""","급한 오르막길을 올라갈 때 주의해야 할 사항은 돌, 모래 및 요철 부위가 적은 곳을 선택해서 주행해야 합니다. 오르막길을 오르기 전에 주행이 가능한지 직접 확인해야 합니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
급한 내리막길을 내려갈 때 주의 사항 내리막길을 내려올 때 전방에 장애물이 없는지 직접 확인하십시오. 내리막길을 내려오는 도중에 변속하지 마십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
하천 등을 건널 때 주의 사항 전기 계통 등에 물이 들어가면 주행 불가능한 상태가 되므로 가능한 한 수중 주행을 피하십시오.- 수중 주행을 하기 전에 미리 하천의 깊이나 지형 등을 확인하고 수심이 낮은 곳을선택하여 5 km/h 정도의 속도로 파도가일지 않도록 천천히 주행하십시오.- 실내나 헤드램프에 물이 들어갔을 때는 '수중 주행 후의 점검 및 조치'를 참고하십시오.- 수중 주행을 자주 하면 차량 수명이 짧아지므로 유의하십시오. 하천 등을 건넌 후에는 브레이크 성능을 점검하십시오.- 브레이크 성능이 저하된 경우는 앞뒤 차량에 유의하여 저속으로 주행하면서 브레이크 페달의 밟는 힘이 정상적인 상태로 돌아올 때까지 브레이크 페달을 가볍게 여러번 밟으십시오. 하천 등을 건넌 후에는 차체 각부를 점검하십시오.
 수심 50 cm 이상의 장소는 절대로 건너지마십시오. 하천 등을 건널 때에는 절대로 변속하지 마십시오.",하천을 건널 때 주의해야 할 사항은 무엇인가요?,"하천을 건널 때에는 수중 주행을 피하고, 수심이 낮은 곳을 선택하여 천천히 주행해야 합니다. 또한, 하천을 건넌 후에는 브레이크 성능을 점검하고 차체 각부를 점검해야 합니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
험로 (OFF ROAD) 주행 후의 점검 및 조치 노면의 돌기나 물에 의해 손상된 부분이 있는지 점검하십시오. 냉각장치에 누수가 없는지 점검하십시오. 깨끗한 물로 세차하십시오.바닷가의 모래밭 등을 주행했을 때는 해수의염분에 의해 차량에 녹이 발생하기 쉬우므로빨리 세차하십시오. 세차 후에는 저속으로 주행하면서 가볍게 브레이크 페달을 밟아 브레이크 부분의 수분을말리십시오. 브레이크 성능이 저하된 경우는즉시 당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:사륜구동 차량의 운전 요령
수중 주행 후의 점검 및 조치 브레이크 성능이 저하된 경우는 즉시 당사직영 하이테크센터나 블루핸즈에서 점검을받으십시오. 차량에 사용되는 오일 등을 점검하여 이상이있을 시 교체하십시오. 헤드램프에 물이 들어간 경우 물을 빼내십시오. 당사 직영 하이테크센터나 블루핸즈에서 휠베어링 부의 그리스 교체를 받으십시오.
험로(OFF ROAD) 주행 후에는 정기 점검 주기를 앞당겨 자주 점검하고 부품을 교체하십시오.
 험로(OFF ROAD) 주행 후에는 차체 아래,샤시 또는 후드에 묻은 이물질을 제거하십시오. 이물질이 끼면 화재가 발생할 수 있습니다. 진흙 길이나 모랫길을 주행한 후에는 브레이크 성능에 영향이 있을 수 있으므로 브레이크 패드를 점검하십시오. 눈이 쌓인 도로, 진흙 길 등의 미끄러지기 쉬운 도로에서는 차간 거리를 충분히 두고 주행하십시오. 사륜구동 차량의 제동 거리는이륜구동 차량의 제동 거리와 큰 차이가 없습니다.  수위가 차량 하단부보다 높을 시, 하천을 건너는 등 무리한 수중 주행을 하지 마십시오. 진흙탕에 앞바퀴 또는 뒷바퀴가 빠졌을 경우, 바퀴를 지나치게 회전시키지 마십시오.  진흙탕 또는 물이 있는 곳을 주행한 후에는브레이크 상태를 반드시 점검하십시오. 천천히 주행하면서 브레이크 페달의 밟는 힘이정상적인 상태로 돌아올 때까지 브레이크 페달을 가볍게 여러 번 밟으십시오.
고속 회전 상태에서 차선을 급하게 변경하거나급회전하는 등 스티어링 휠을 갑작스럽게 조작하지 마십시오. 차량 제어력을 잃게 되면 차량이 전복될 수 있습니다.",사륜구동 차량의 운전 요령을 점검하는 경우 어떤 사항들을 확인해야 합니까?,"사륜구동 차량의 운전 요령을 점검하는 경우, 브레이크 성능, 헤드램프에 물이 들어간 경우 물을 빼내기, 휠베어링 부의 그리스 교체 등을 확인해야 합니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:타이어 관련 유의 사항
타이어 관련 유의 사항
사륜구동 작동 중에는 모든 타이어에 구동력이걸리기 때문에 사륜구동 차량의 성능은 타이어의 마모 정도에 크게 영향을 받습니다. 타이어에 세심한 주의를 기울이십시오. 타이어와 휠을 교체할 경우 네 개의 타이어및 휠을 동시에 교체하십시오. 타이어 또는휠을 일부만 교체할 경우 차량의 조향 성능및 승차감에 심각하게 영향을 줄 수 있습니다. 타이어의 공기압을 정기적으로 점검하십시오.
차량 출고 시 제공된 타이어 및 휠과 다른 사이즈 또는 다른 타입의 타이어 및 휠을 사용하지마십시오. 차량의 안전 주행에 영향을 줄 뿐 아니라 조향력의 상실 또는 전복에 따른 심각한사고가 날 수 있습니다.타이어를 교체할 경우에는 반드시 타이어 및 휠의 사이즈, 타입, 트레드, 제조사, 부하 용량이같은 네 개의 동일한 타이어로 교체하십시오.불가피하게 다른 종류의 타이어를 장착해서 비포장도로를 주행하게 될 경우 고속으로 운전하지 마십시오.타이어 펑크 등 긴급 상황이 발생했을 때는 제공된 타이어 응급 처치 키트(TMK)를 이용해 수리한 후 당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오.
 사륜구동 차량을 잭으로 들어올린 상태에서차량에 시동이 걸려 타이어가 회전되지 않게하십시오. 접지된 타이어가 회전하면 잭에서차량이 튕겨져 나갈 수 있습니다. 타이어에 체인을 장착할 때는 반드시 뒷바퀴에 체인을 장착하십시오.다만, 이 경우 차속 30 km/h 이하로 주행하고 주행 거리를 최소화하십시오. 체인을 장착한 채로 고속 또는 장기간 주행할 경우 사륜구동 장치의 오작동 또는 손상을 초래할수 있습니다.
타이어체인은 반드시 모비스 순정 부품 체인을사용하십시오. 규정 제품 이외의 체인은 차체를 손상시킬 수 있습니다.
  19인치: 체인 두께 12 mm 이하 사용 20인치: 오토삭 직물형 체인",,
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:견인 관련 유의 사항
견인 관련 유의 사항
반드시 사륜을 모두 들어 올려서 견인하거나 돌리(바퀴 달린 수레)를 사용하여 견인하십시오.차량 견인에 관한 자세한 내용은 8장 '차량 견인'을 참고하십시오.
사륜구동 차량은 일반 견인 트럭으로 견인할 수없습니다. 반드시 사륜을 들어 올려 견인하십시오.",설명서 대제목은 무엇인가요?,시동 및 주행
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:정비 관련 유의 사항
정비 관련 유의 사항
 리프트로 차량을 들어 올린 상태에서 점검할경우, 앞바퀴 또는 뒷바퀴 어느 한쪽만 구동시키지 마십시오. 리프트로 차량을 들어 올린 상태에서 차량을구동시켜야 할 경우에는 반드시 파킹 브레이크를 푸십시오. 그렇지 않으면 사륜구동 계통에 고장이 발생할 수 있습니다.",설명서 대제목은 무엇인가요?,시동 및 주행
"설명서 대제목:6.  시동 및 주행
설명서 중제목:사륜구동 모터
설명서 소제목:기타 유의 사항
기타 유의 사항
차량 정기 검사 항목 중 '속도계 허용 오차 기준초과 검사'를 할 경우, 반드시 사륜구동(4WD)용 롤 테스터에서 검사하십시오. 이륜구동(2WD)용 롤 테스터에서 이륜구동 차량과 동일한 방법으로 검사할 경우 구동모터 내부 부품이손상되거나 차량 이탈로 인한 안전사고가 발생할 수 있습니다.
불가피하게 이륜구동용 롤 테스터에서 검사해야 하는 경우, 다음 절차를 따르십시오.1. 타이어의 공기압이 규정 공기압인지 확인하십시오.2. 뒷바퀴를 속도계 검사 롤 테스터 위에 올리십시오.3. 파킹 브레이크를 푸십시오.4. 앞바퀴를 간이식 프리 롤 장치 위에 올리십시오.5. 검사 중 차량 이탈 사고 및 안전사고를 방지하기 위해 차량 앞쪽에서 벗어나 검사를 시행하십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:통합주행 모드 시스템 (2WD)
설명서 소제목:드라이브 모드 (Drive Mode)
드라이브 모드 (Drive Mode)
운전자의 취향이나 도로 여건에 따라 드라이브모드를 선택할 수 있습니다.
드라이브 모드를 선택하려면 DRIVE MODE버튼을 눌러 변경하십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:통합주행 모드 시스템 (2WD)
설명서 소제목:드라이브 모드 (Drive Mode)
NORMAL 모드일반 도로 및 도심, 고속도로 주행 시 사용하는주행 모드입니다. ",설명서 대제목은 무엇인가요?,시동 및 주행
"설명서 대제목:6.  시동 및 주행
설명서 중제목:통합주행 모드 시스템 (2WD)
설명서 소제목:드라이브 모드 (Drive Mode)
ECO 모드ECO 모드는 구동 모터와 감속기 제어를 통해연비를 향상시키는 주행 모드입니다.연비 개선 효과는 개개인의 운전 습관에 따라차이가 날 수 있습니다. DRIVE MODE 버튼을 눌러 조작하여 ECO모드를 선택하면 클러스터에 ECO 표시등이켜지고 해당 테마로 변경됩니다. 
ECO 모드 작동 시 발생할 수 있는 차량 주행 특성연비를 우선으로 구동 모터 및 감속기 작동을제어하여 NORMAL 모드에 비해 급가속과 같은 연비를 악화시키는 주행을 억제합니다.
ECO 모드 작동 제한ECO 모드 작동 중에 다음과 같은 상황이 발생할 경우, ECO 표시등이 켜져 있더라도 ECO 모드 작동이 제한될 수 있습니다. 냉각수 온도가 낮을 때: 냉각수 온도가 상승하여 구동 모터가 정상적인 성능을 낼 때까지 ECO 모드 작동이 제한됩니다. 오르막길을 주행할 때: ECO 모드는 구동 모터 토크를 제한합니다. 오르막길에서는 구동모터 성능 확보를 위해 ECO 모드 작동이 제한됩니다.","- ECO 모드는 어떤 주행 모드인가요?
- ECO 모드가 작동되는 경우에는 어떤 상황에서 ECO 모드 작동이 제한될 수 있나요?
- ECO 모드가 작동되면 어떤 변화가 일어나나요?
- ECO 모드가 작동될 때 어떤 주행 특성이 억제되나요?
- ECO 모드가 작동되는 경우에는 어떤 주행 습관에 따라 연비 개선 효과가 달라질 수 있나요?","- ECO 모드는 구동 모터와 감속기 제어를 통해 연비를 향상시키는 주행 모드입니다.
- ECO 모드 작동 중에는 냉각수 온도가 낮을 때와 오르막길을 주행할 때 ECO 모드 작동이 제한될 수 있습니다.
- ECO 모드가 작동되면 클러스터에 ECO 표시등이 켜지고 해당 테마로 변경됩니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:통합주행 모드 시스템 (2WD)
설명서 소제목:드라이브 모드 (Drive Mode)
SPORT 모드SPORT 모드는 스티어링 휠, 구동 모터와 감속기 제어를 통해 스포티한 주행을 제공하는 모드입니다. DRIVE MODE 버튼을 눌러 SPORT 모드를선택하면 클러스터에 SPORT 표시등이 켜지고 해당 테마로 변경됩니다. SPORT 모드가 선택된 상태에서 시동을 껐다가 다시 걸면 NORMAL 모드로 되돌아갑니다. 필요한 경우 다시 SPORT 모드를 선택하십시오.
SPORT 모드에서는 연비가 안 좋아질 수 있습니다.",시동 및 주행에 대한 설명서의 대제목은 무엇인가요?,"시동 및 주행에 대한 설명서의 대제목은 ""6. 시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:통합주행 모드 시스템 (2WD)
설명서 소제목:드라이브 모드 (Drive Mode)
SNOW 모드SNOW 모드는 눈길 등 미끄러운 노면에서 후륜의 구동력을 조절하여 안정적인 출발을 가능하게 하고, 타이어가 미끄러지는 것을 억제하여 안전한 주행을 돕는 모드입니다. DRIVE MODE 버튼을 길게 눌러 SNOW 모드를 선택하면 클러스터에 SNOW 표시등이켜집니다.
 눈길, 빙판길 주행 시 가속 페달을 서서히 밟아 부드럽게 출발하십시오. 차간 거리를 충분히 유지하십시오. 주행 중 급가속, 급제동, 과도한 스티어링 휠조작을 하지 마십시오. 차량이 미끄러질 수있어 위험합니다.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:통합주행 모드 시스템 (4WD)
설명서 소제목:드라이브 모드 (Drive Mode)
드라이브 모드 (Drive Mode)
운전자의 취향이나 도로 여건에 따라 드라이브모드를 선택할 수 있습니다.
드라이브 모드를 선택하려면 DRIVE MODE버튼을 눌러 변경하십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:통합주행 모드 시스템 (4WD)
설명서 소제목:드라이브 모드 (Drive Mode)
NORMAL 모드일반 도로 및 도심, 고속도로 주행 시 사용하는주행 모드입니다. 정속 주행 시 거의 후륜(2WD) 구동으로 주행하며, 노면 조건 및 주행상태에 따라 자동으로 전·후륜(4WD) 구동 모드를 적절히 사용합니다.",시동 및 주행에 대한 설명서의 대제목은 무엇인가요?,"시동 및 주행에 대한 설명서의 대제목은 ""6. 시동 및 주행""입니다."
"설명서 대제목:6.  시동 및 주행
설명서 중제목:통합주행 모드 시스템 (4WD)
설명서 소제목:드라이브 모드 (Drive Mode)
ECO 모드ECO 모드는 구동 모터, 감속기 제어와 후륜 위주의 구동을 통해 연비를 향상 시키는 주행 모드입니다.연비 개선 효과는 개개인의 운전 습관에 따라차이가 날 수 있습니다. DRIVE MODE버튼을 눌러 조작하여 ECO모드를 선택 하면 클러스터에 ECO 표시등이 켜지고 해당 테마로 변경됩니다.
ECO 모드 작동 시 발생할 수 있는 차량 주행 특성연비를 우선으로 구동 모터 및 감속기에 비해급가속과 같은 연비를 악화시키는 주행을 억제합니다.
ECO 모드 작동 제한ECO 모드 작동 중에 다음과 같은 상황이 발생할 경우, ECO 표시등이 켜져 있더라도 ECO 모드 작동이 제한될 수 있습니다. 냉각수 온도가 낮을 때: 냉각수 온도가 상승하여 구동 모터가 정상적인 성능을 낼 때까지 ECO 모드 작동이 제한됩니다. 오르막길을 주행할 때: ECO 모드는 구동 모터 토크를 제한합니다. 오르막길에서는 구동모터 성능 확보를 위해 ECO 모드 작동이 제한됩니다.",,
